Time:5/29/2020 12:21:00 PM	Open:300.8150	Close:300.7400	Volume:75878
Time:5/29/2020 12:20:00 PM	Open:300.7913	Close:300.8150	Volume:57163
Time:5/29/2020 12:19:00 PM	Open:300.7900	Close:300.8099	Volume:152867
Time:5/29/2020 12:18:00 PM	Open:301.0800	Close:300.8000	Volume:178103
Time:5/29/2020 12:17:00 PM	Open:301.0450	Close:301.0600	Volume:130146
Time:5/29/2020 12:16:00 PM	Open:301.2900	Close:301.0450	Volume:171042
Time:5/29/2020 12:15:00 PM	Open:301.4600	Close:301.2900	Volume:76023
Time:5/29/2020 12:14:00 PM	Open:301.5700	Close:301.4700	Volume:125682
Time:5/29/2020 12:13:00 PM	Open:301.5500	Close:301.5600	Volume:242811
Time:5/29/2020 12:12:00 PM	Open:301.6200	Close:301.5600	Volume:90622
Time:5/29/2020 12:11:00 PM	Open:301.4700	Close:301.6300	Volume:67843
Time:5/29/2020 12:10:00 PM	Open:301.5800	Close:301.4600	Volume:86677
Time:5/29/2020 12:09:00 PM	Open:301.7499	Close:301.5700	Volume:102332
Time:5/29/2020 12:08:00 PM	Open:301.7500	Close:301.7500	Volume:41412
Time:5/29/2020 12:07:00 PM	Open:301.7700	Close:301.7500	Volume:57369
Time:5/29/2020 12:06:00 PM	Open:301.8400	Close:301.7800	Volume:59348
Time:5/29/2020 12:05:00 PM	Open:301.8800	Close:301.8400	Volume:52209
Time:5/29/2020 12:04:00 PM	Open:301.9100	Close:301.8700	Volume:58021
Time:5/29/2020 12:03:00 PM	Open:301.7200	Close:301.9200	Volume:48763
Time:5/29/2020 12:02:00 PM	Open:301.7800	Close:301.7267	Volume:35286
Time:5/29/2020 12:01:00 PM	Open:301.7000	Close:301.7825	Volume:52232
Time:5/29/2020 12:00:00 PM	Open:301.7000	Close:301.6700	Volume:40265
Time:5/29/2020 11:59:00 AM	Open:301.7760	Close:301.7100	Volume:53913
Time:5/29/2020 11:58:00 AM	Open:301.8300	Close:301.7800	Volume:43759
Time:5/29/2020 11:57:00 AM	Open:301.9000	Close:301.8328	Volume:53220
Time:5/29/2020 11:56:00 AM	Open:301.7300	Close:301.9100	Volume:72864
Time:5/29/2020 11:55:00 AM	Open:301.7985	Close:301.7200	Volume:77011
Time:5/29/2020 11:54:00 AM	Open:301.8300	Close:301.7900	Volume:47488
Time:5/29/2020 11:53:00 AM	Open:301.9100	Close:301.8300	Volume:98215
